"","sampleName","Year","Tissue","Phenology","indexer","Rootstock","Irrigation","Row","Block"
"A1Y1_001_L","A1Y1_001_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_A_2","1103P","None","8","A"
"A1Y1_002_L","A1Y1_002_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_A_3","1103P","None","8","A"
"A1Y1_003_L","A1Y1_003_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_004_L","A1Y1_004_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_B_2","3309C","None","8","A"
"A1Y1_005_L","A1Y1_005_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_C_2","SO4","None","8","A"
"A1Y1_006_L","A1Y1_006_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_C_3","SO4","None","8","A"
"A1Y1_007_L","A1Y1_007_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_D_2","Ungrafted","None","8","A"
"A1Y1_008_L","A1Y1_008_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_8_D_3","Ungrafted","None","8","A"
"A1Y1_009_L","A1Y1_009_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_A_2","Ungrafted","RDI","9","A"
"A1Y1_010_L","A1Y1_010_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_A_3","Ungrafted","RDI","9","A"
"A1Y1_011_L","A1Y1_011_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_B_2","1103P","RDI","9","A"
"A1Y1_012_L","A1Y1_012_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_B_3","1103P","RDI","9","A"
"A1Y1_013_L","A1Y1_013_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_C_2","3309C","RDI","9","A"
"A1Y1_014_L","A1Y1_014_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_C_3","3309C","RDI","9","A"
"A1Y1_015_L","A1Y1_015_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_D_2","SO4","RDI","9","A"
"A1Y1_016_L","A1Y1_016_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_9_D_3","SO4","RDI","9","A"
"A1Y1_017_L","A1Y1_017_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_A_2","3309C","Full","10","A"
"A1Y1_018_L","A1Y1_018_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_A_3","3309C","Full","10","A"
"A1Y1_020_L","A1Y1_020_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_B_3","SO4","Full","10","A"
"A1Y1_021_L","A1Y1_021_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_C_2","Ungrafted","Full","10","A"
"A1Y1_022_L","A1Y1_022_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_C_3","Ungrafted","Full","10","A"
"A1Y1_023_L","A1Y1_023_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_D_2","1103P","Full","10","A"
"A1Y1_024_L","A1Y1_024_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_10_D_3","1103P","Full","10","A"
"A1Y1_025_L","A1Y1_025_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_A_2","3309C","RDI","11","B"
"A1Y1_026_L","A1Y1_026_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_A_3","3309C","RDI","11","B"
"A1Y1_027_L","A1Y1_027_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_B_2","1103P","RDI","11","B"
"A1Y1_028_L","A1Y1_028_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_B_3","1103P","RDI","11","B"
"A1Y1_029_L","A1Y1_029_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_C_2","Ungrafted","RDI","11","B"
"A1Y1_031_L","A1Y1_031_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_D_2","SO4","RDI","11","B"
"A1Y1_032_L","A1Y1_032_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_11_D_3","SO4","RDI","11","B"
"A1Y1_033_L","A1Y1_033_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_A_2","1103P","Full","12","B"
"A1Y1_034_L","A1Y1_034_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_A_3","1103P","Full","12","B"
"A1Y1_035_L","A1Y1_035_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_B_2","Ungrafted","Full","12","B"
"A1Y1_036_L","A1Y1_036_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_B_3","Ungrafted","Full","12","B"
"A1Y1_037_L","A1Y1_037_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_C_2","SO4","Full","12","B"
"A1Y1_038_L","A1Y1_038_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_C_3","SO4","Full","12","B"
"A1Y1_039_L","A1Y1_039_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_D_2","3309C","Full","12","B"
"A1Y1_040_L","A1Y1_040_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_12_D_3","3309C","Full","12","B"
"A1Y1_041_L","A1Y1_041_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_A_2","SO4","None","13","B"
"A1Y1_042_L","A1Y1_042_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_A_3","SO4","None","13","B"
"A1Y1_043_L","A1Y1_043_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_B_2","3309C","None","13","B"
"A1Y1_044_L","A1Y1_044_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_B_3","3309C","None","13","B"
"A1Y1_045_L","A1Y1_045_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_C_2","1103P","None","13","B"
"A1Y1_046_L","A1Y1_046_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_C_3","1103P","None","13","B"
"A1Y1_047_L","A1Y1_047_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_D_2","Ungrafted","None","13","B"
"A1Y1_048_L","A1Y1_048_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_13_D_3","Ungrafted","None","13","B"
"A1Y1_049_L","A1Y1_049_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_A_2","3309C","RDI","14","C"
"A1Y1_050_L","A1Y1_050_L","2017","Leaf","Anthesis","2017_Anthesis_Leaf_14_A_3","3309C","RDI","14","C"
